"EntityNumber","EntityContact","ContactType","Value"
"1030.674.092","ENT","EMAIL","info@studio-elevate.be"
"1030.674.092","ENT","WEB","www.studio-elevate.be"
"1035.046.616","ENT","EMAIL","contact@tsaheylu.be"
"1035.125.107","ENT","TEL","0495251014"
"1035.125.107","ENT","EMAIL","dr.michel.polet@skynet.Be"
"1035.808.362","ENT","TEL","+32476736495"
"1035.808.362","ENT","EMAIL","alexandre.vanoverstraeten@belnot.be"
"1037.297.808","ENT","TEL","+32465229933"
"1037.297.808","ENT","EMAIL","contact@desycrousty.com"
"1038.565.637","ENT","TEL","+32472710802"
"1038.565.637","ENT","EMAIL","maellecohier@gmail.com"
"1039.592.946","ENT","TEL","0491553898"
"1039.592.946","ENT","EMAIL","joris.vergaelen@outlook.com"
"1039.739.832","ENT","TEL","+32494856085"
"1039.739.832","ENT","EMAIL","julien.sonneville@hotmail.com"
"1039.739.832","ENT","EMAIL","julien.sonneville@hotmail.com"
"1039.884.936","ENT","TEL","+32492498203"
"1039.884.936","ENT","EMAIL","emybeauty1602@gmail.com"
"1039.884.936","ENT","EMAIL","mimiecollard@hotmail.com"
"1039.928.288","ENT","TEL","+32470465032"
"1039.928.288","ENT","EMAIL","joren.boonen@outlook.com"
"1039.968.177","ENT","TEL","+32498766399"
"1039.968.177","ENT","EMAIL","jonathan.harvengt.bosch@gmail.com"
"1040.101.207","ENT","TEL","+32474303778"
"1040.101.207","ENT","EMAIL","mb.carrosserie.info@gmail.com"
"1040.121.397","ENT","TEL","+32496917390"
"1040.164.751","ENT","TEL","+32493580440"
"1040.164.751","ENT","EMAIL","emeline.lust20@gmail.com"
"1040.220.080","ENT","TEL","+32492174646"
"1040.220.080","ENT","EMAIL","contact@semeis.be"
"1040.361.226","ENT","EMAIL","nathanschaut.kine@gmail.com"
"1040.371.916","ENT","TEL","+32497734337"
"1040.371.916","ENT","EMAIL","rajawi.toryalai@gmail.com"
"1040.379.438","ENT","TEL","+32489753707"
"1040.379.438","ENT","EMAIL","contact@sila-studio.be"
"1040.392.306","ENT","EMAIL","info@hornokplease.space"
"1040.392.306","ENT","WEB","hornokplease.space"
"1040.404.875","ENT","TEL","+32493550619"
"1040.404.875","ENT","EMAIL","anthony@atelier-moan.com"
"1040.412.991","ENT","EMAIL","vandeloiserose@gmail.com"
"1040.460.503","ENT","TEL","+32472426745"
"1040.460.503","ENT","EMAIL","charles.sarrazin@peb-z.be"
"1040.544.833","ENT","TEL","+32495901619"
"1040.544.833","ENT","EMAIL","equilibrium71.philatelie@hotmail.com"
"1040.554.038","ENT","TEL","+32478544584"
"1040.554.038","ENT","EMAIL","emilie.vandamme@hotmail.com"
"1040.572.844","ENT","TEL","+32486587314"
"1040.572.844","ENT","EMAIL","zairi.services@gmail.com"
"1040.600.855","ENT","TEL","+32486312179"
"1040.600.855","ENT","EMAIL","blapauw@gmail.com"
"1040.634.608","ENT","TEL","+32498827535"
"1040.634.608","ENT","EMAIL","sarah.gratien@hotmail.com"
"1040.634.608","ENT","WEB","www.sarahgratien-sexologue.com"
"1040.650.840","ENT","TEL","+32468387071"
"1040.650.840","ENT","EMAIL","denis.moreau0806@gmail.com"
"1040.652.523","ENT","TEL","+32499129223"
"1040.655.194","ENT","TEL","+3272877255"
"1040.655.194","ENT","EMAIL","gaut.bernard@gmail.com"
"1040.655.689","ENT","TEL","+32470899149"
"1040.655.689","ENT","EMAIL","contact@omea-business.com"
"1040.656.085","ENT","TEL","+32471332882"
"1040.656.085","ENT","EMAIL","lecrindemanon1@gmail.com"
"1040.656.778","ENT","TEL","+32499236268"
"1040.656.778","ENT","EMAIL","flavian.lepiemme@mil.be"
"1040.656.976","ENT","TEL","+32491338787"
"1040.656.976","ENT","EMAIL","lobindelphine48@gmail.com"
"1040.657.075","ENT","TEL","+32491612003"
"1040.657.075","ENT","EMAIL","clemwillms@gmail.com"
"1040.657.471","ENT","TEL","+32491464056"
"1040.657.471","ENT","EMAIL","hugodepireux@gmail.com"
"1040.659.055","ENT","TEL","+32471536300"
"1040.659.055","ENT","EMAIL","laurentinetitina@hotmail.com"
"1040.660.738","ENT","EMAIL","amfadia067@gmail.com"
"1040.660.837","ENT","EMAIL","dpnt.martin05@gmail.com"
"1040.661.827","ENT","TEL","+33651894459"
"1040.661.827","ENT","EMAIL","yoline.boulinguez17@gmail.com"
"1040.663.510","ENT","TEL","+32492419286"
"1040.663.510","ENT","EMAIL","bizzaroenzopro@gmail.com"
"1040.664.696","ENT","TEL","+32470273908"
"1040.664.696","ENT","EMAIL","marclillll321@gmail.com"
"1040.665.389","ENT","EMAIL","michelle.boschman@gmail.com"
"1040.665.983","ENT","EMAIL","lesgargouilles.cie@gmail.com"
"1040.665.983","ENT","WEB","www.lacompagniegargouilles.com/"
"1040.669.745","ENT","EMAIL","multatalenta@telenet.be"
"1040.676.079","ENT","EMAIL","compagnie.perchee@protonmail.com"
"1040.678.257","ENT","EMAIL","elien.r@icloud.com"
"1040.679.049","ENT","TEL","+32496440288"
"1040.679.049","ENT","EMAIL","maximegorjonpro@gmail.com"
"1040.680.633","ENT","EMAIL","loganverreyst@hotmail.com"
"1040.681.623","ENT","EMAIL","meloe.asbl@proton.me"
"1040.682.514","ENT","TEL","+32496805783"
"1040.682.514","ENT","EMAIL","florette.peter@gmail.com"
"1040.682.613","ENT","EMAIL","fabiandecremer@hotmail.com"
"1040.682.613","ENT","WEB","wattmanbrainecycling.odoo.com"
"1040.684.393","ENT","TEL","+32471723398"
"1040.684.393","ENT","EMAIL","contact@carillonwebstudio.be"
"1040.685.185","ENT","EMAIL","melissa.geschier@minfin.fed.be"
"1040.685.482","ENT","TEL","+32498227303"
"1040.685.482","ENT","EMAIL","wahaj.ahmed45@gmail.com"
"1040.685.977","ENT","TEL","+32471466101"
"1040.685.977","ENT","EMAIL","antigona.musliu@outlook.be"
"1040.686.274","ENT","EMAIL","melissa.geschier@minfin.fed.be"
"1040.686.967","ENT","EMAIL","melissa.geschier@minfin.fed.be"
"1040.687.858","ENT","EMAIL","vdeanie@hotmail.com"
"1040.690.333","ENT","TEL","+32499237572"
"1040.690.333","ENT","EMAIL","pro.margotrenard@gmail.com"
"1040.695.776","ENT","EMAIL","dansespontin@gmail.com"
"1040.696.073","ENT","EMAIL","lessorcieresdehuleu@gmail.com"
"1040.697.459","ENT","EMAIL","sokol.fc.bxi@gmail.com"
"1040.697.459","ENT","WEB","www.facebook.com/FCSokolBXl"
"1040.698.152","ENT","EMAIL","artilleurs.lausprelle@gmail.com"
"2.156.831.523","EST","TEL","0475/483755"
"2.156.831.523","EST","FAX","04/3674948"
"2.156.831.523","EST","EMAIL","jm.bachelet@jmb-management.com"
"2.158.782.906","EST","TEL","0479464731"
"2.183.447.333","EST","TEL","0497/194297"
"2.218.222.823","EST","TEL","0476300370"
"2.255.370.259","EST","TEL","010 87 03 70"
"2.255.370.259","EST","EMAIL","info@centrenovia.be"
"2.255.370.259","EST","WEB","centrenovia.be/"
"2.283.448.294","EST","TEL","+32498265017"
"2.283.448.294","EST","EMAIL","hanot.formations@gmail.com"
"2.288.070.741","EST","TEL","0032471557921"
"2.288.070.741","EST","EMAIL","skomlan@keinagroup.com"
"2.288.070.741","EST","WEB","www.keinagroup.be"
"2.295.790.159","EST","EMAIL","info@smart-im.be"
"2.297.146.575","EST","TEL","023075017"
"2.297.146.575","EST","TEL","0486 80 24 57"
"2.297.146.575","EST","EMAIL","tommyeps@outlook.be"
"2.297.146.575","EST","WEB","www.ueps.be"
"2.306.330.297","EST","TEL","0489374379"
"2.312.210.378","EST","TEL","00 32 474 23 23 23"
"2.312.210.378","EST","EMAIL","info@mywater.community"
"2.312.210.378","EST","WEB","mywater.community"
"2.318.209.829","EST","EMAIL","bookings@orenzien.be"
"2.340.089.762","EST","TEL","0476329377"
"2.342.243.162","EST","EMAIL","vittoriana.todisco@gmail.com"
"2.346.566.788","EST","TEL","0473230090"
"2.350.490.637","EST","EMAIL","B.turquoiseconstruct@gmail.com"
"2.351.069.667","EST","WEB","www.jackys.be"
"2.389.924.107","EST","TEL","+32 13 69 11 60"
"2.389.924.107","EST","EMAIL","info@pulseone.be"
"2.389.924.107","EST","WEB","www.pulseone.be"
"2.390.364.862","EST","EMAIL","m.wante@be.aswatson.com"
"2.391.050.988","EST","EMAIL","nassmoney24@gmail.com"
"2.391.243.010","EST","EMAIL","contact@semeis.be"
"2.391.243.010","EST","WEB","semeis.be"
"2.391.594.881","EST","TEL","+32451037139"
"2.391.594.881","EST","EMAIL","infos@cases-lab.com"
"2.391.594.881","EST","WEB","cases-lab.com/"
"2.391.716.627","EST","TEL","0465299435"
"2.391.716.627","EST","EMAIL","oumarysmith@gmail.com"
"2.391.718.904","EST","TEL","050/386567"
"2.391.719.397","EST","TEL","+32470412426"
"2.391.719.397","EST","EMAIL","c.dorignaux@customs-made.com"
"2.391.719.397","EST","WEB","www.customs-made.com"
"2.391.720.981","EST","TEL","+32474303778"
"2.391.720.981","EST","EMAIL","mb.carrosserie.info@gmail.com"
"2.391.722.070","EST","TEL","+32499129223"
"2.391.725.337","EST","TEL","0492/421382"
"2.391.725.337","EST","EMAIL","bilal.ramdam70@hotmail.com"
"2.391.725.832","EST","TEL","+32470899149"
"2.391.725.832","EST","EMAIL","contact@omea-business.com"
"2.391.728.406","EST","TEL","+32491338787"
"2.391.728.406","EST","EMAIL","lobindelphine48@gmail.com"
"2.391.728.703","EST","TEL","0473402409"
"2.391.729.196","EST","TEL","+32491612003"
"2.391.729.196","EST","EMAIL","clemwillms@gmail.com"
"2.391.731.176","EST","TEL","+32472710802"
"2.391.731.176","EST","EMAIL","maellecohier@gmail.com"
"2.391.732.562","EST","TEL","+32496397282"
"2.391.732.562","EST","EMAIL","dpnt.martin05@gmail.com"
"2.391.737.908","EST","EMAIL","info@suskeenwiskemuseum.be"
"2.391.746.123","EST","TEL","+32490404030"
"2.391.746.123","EST","EMAIL","nathanschaut.kine@gmail.com"
"2.391.746.420","EST","TEL","+32486115650"
"2.391.746.420","EST","EMAIL","ALMOLAHEDNASSER@GMAIL.COM"
"2.391.747.212","EST","TEL","0471208329"
"2.391.747.212","EST","EMAIL","robbeflorizoone@gmail.com"
"2.391.752.061","EST","TEL","+32496440288"
"2.391.752.061","EST","EMAIL","contact.oplamarketing@gmail.com"
"2.391.755.427","EST","TEL","+32498827535"
"2.391.755.427","EST","EMAIL","sarah.gratien@hotmail.com"
"2.391.755.427","EST","WEB","www.sarahgratien-sexologue.com"
"2.391.756.714","EST","TEL","+32496805783"
"2.391.756.714","EST","EMAIL","f.peter@fratinivergano.eu"
"2.391.757.209","EST","TEL","+32465229933"
"2.391.757.209","EST","EMAIL","contact@desycrousty.com"
"2.391.758.890","EST","TEL","+32498227303"
"2.391.758.890","EST","EMAIL","wahaj.ahmed45@gmail.com"
"2.391.759.484","EST","TEL","+32496917390"
"2.391.759.484","EST","EMAIL","younes_zarouali@hotmail.be"
"2.391.760.672","EST","WEB","www.nanopyro.be"
